id;nombre;edad;genero;ciudad;comentario;categoria_del_problema;nivel_de_urgencia;fecha_del_reporte;acceso_a_internet;atencion_previa_del_gobierno;zona_rural
1458;pedro;15;f;bucaramanga;no hay suficientes escuelas publicas;seguridad;no urgente;2024 08 26;0;0;0
1459;juan;35;m;cucuta;las calles estan muy oscuras y peligrosas;educacion;no urgente;2023 10 06;0;1;1
1460;juan;63;otro;bogota;la contaminacion del rio esta aumentando;medio ambiente;urgente;2023 03 08;0;0;1
1461;valentina;57;m;bucaramanga;las calles estan muy oscuras y peligrosas;educacion;urgente;2024 09 18;1;0;1
1462;valentina;36;otro;barranquilla;la contaminacion del rio esta aumentando;educacion;urgente;2023 10 07;1;1;0
1463;valentina;24;f;cartagena;faltan medicos en el centro de salud;educacion;urgente;2024 04 10;1;0;1
1464;ana;18;m;manizales;las calles estan muy oscuras y peligrosas;seguridad;no urgente;2024 01 24;1;0;1
1465;jorge;30;f;pereira;las calles estan muy oscuras y peligrosas;educacion;urgente;2023 04 14;1;1;0
1466;laura;64;f;medellin;la contaminacion del rio esta aumentando;seguridad;urgente;2024 06 05;1;1;0
1467;camilo;36;nan;pereira;falta agua potable en varias casas;medio ambiente;no urgente;2023 01 03;0;1;0
1468;maria;24;f;santa marta;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2023 02 06;0;0;1
1469;sofia;65;nan;barranquilla;las basuras no se recogen a tiempo;educacion;no urgente;2024 01 21;1;0;0
1470;sofia;55;f;santa marta;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2024 08 10;0;1;0
1471;maria;63;m;santa marta;las basuras no se recogen a tiempo;educacion;no urgente;2023 07 11;1;0;0
1472;laura;40;m;barranquilla;la contaminacion del rio esta aumentando;seguridad;no urgente;2024 07 13;0;0;1
1473;camilo;75;m;manizales;nan;salud;urgente;2023 03 16;1;0;0
1474;ana;79;otro;bogota;las basuras no se recogen a tiempo;seguridad;urgente;2023 12 29;1;1;1
1475;valentina;37;f;cucuta;faltan medicos en el centro de salud;salud;urgente;2024 08 18;0;1;1
1476;jorge;65;f;pereira;faltan medicos en el centro de salud;seguridad;urgente;2023 12 20;0;1;0
1477;sofia;18;m;pereira;faltan medicos en el centro de salud;educacion;urgente;2024 07 12;1;1;0
1478;pedro;65;otro;cali;nan;seguridad;no urgente;2023 09 22;0;0;1
1479;pedro;35;otro;cali;las calles estan muy oscuras y peligrosas;seguridad;urgente;2024 05 27;0;1;1
1480;laura;76;f;barranquilla;necesitamos mas acceso a internet en la zona;salud;urgente;2023 11 26;0;0;0
1481;ana;18;f;bucaramanga;las calles estan muy oscuras y peligrosas;salud;no urgente;2023 01 06;0;1;1
1482;ana;20;otro;cali;queremos mas presencia policial;seguridad;urgente;2023 07 21;1;0;0
1483;jorge;30;m;manizales;las calles estan muy oscuras y peligrosas;medio ambiente;urgente;2023 10 06;1;1;0
1484;jorge;77;otro;barranquilla;hay problemas con la recoleccion de basura;salud;no urgente;2023 10 26;1;0;1
1485;sofia;63;otro;bucaramanga;necesitamos mas acceso a internet en la zona;seguridad;no urgente;2023 08 04;0;1;1
1486;jorge;57;f;bogota;no hay suficientes escuelas publicas;educacion;urgente;2024 02 21;1;0;0
1487;ana;42;otro;bogota;hay problemas con la recoleccion de basura;educacion;no urgente;2023 04 04;1;0;1
1488;jorge;49;f;bogota;no hay suficientes escuelas publicas;medio ambiente;urgente;2023 04 02;0;0;1
1489;ana;39;f;santa marta;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2023 03 03;0;0;0
1490;camilo;24;otro;medellin;falta agua potable en varias casas;educacion;urgente;2023 04 05;0;0;1
1491;ana;53;otro;manizales;queremos mas presencia policial;medio ambiente;urgente;2023 06 24;1;0;0
1492;jorge;35;f;cali;falta agua potable en varias casas;seguridad;urgente;2024 07 05;1;1;0
1493;pedro;45;f;bucaramanga;las calles estan muy oscuras y peligrosas;salud;no urgente;2023 10 13;0;1;1
1494;sofia;41;f;nan;necesitamos mas acceso a internet en la zona;seguridad;no urgente;2023 12 24;0;0;1
1495;laura;45;otro;cartagena;las basuras no se recogen a tiempo;seguridad;urgente;2024 09 24;1;0;1
1496;jorge;26;otro;santa marta;no hay suficientes escuelas publicas;medio ambiente;urgente;2024 08 03;1;1;0
1497;camilo;69;otro;bogota;hay problemas con la recoleccion de basura;seguridad;no urgente;2024 03 31;0;0;1
1498;pedro;25;f;cartagena;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2024 03 15;0;1;0
1499;maria;41;f;medellin;no hay suficientes escuelas publicas;seguridad;no urgente;2024 11 29;0;1;0
1500;juan;24;m;bogota;necesitamos mas acceso a internet en la zona;educacion;urgente;2024 04 28;1;1;0
1501;sofia;72;otro;manizales;las calles estan muy oscuras y peligrosas;medio ambiente;urgente;2024 06 12;1;1;0
1502;maria;44;f;bucaramanga;queremos mas presencia policial;seguridad;no urgente;2024 02 18;1;0;1
1503;carlos;22;f;cucuta;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2023 07 26;1;0;1
1504;sofia;38;otro;bogota;las basuras no se recogen a tiempo;educacion;urgente;2024 02 01;0;1;0
1505;laura;52;otro;pereira;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2023 10 07;0;0;0
1506;valentina;50;m;cartagena;queremos mas presencia policial;salud;urgente;2023 02 04;0;1;0
1507;laura;38;f;bogota;no hay suficientes escuelas publicas;medio ambiente;no urgente;2023 02 04;1;0;1
1508;sofia;;m;bucaramanga;queremos mas presencia policial;educacion;urgente;2024 04 14;0;1;0
1509;pedro;37;f;manizales;hay problemas con la recoleccion de basura;seguridad;no urgente;2024 09 22;1;1;0
1510;valentina;47;nan;cali;hay problemas con la recoleccion de basura;seguridad;urgente;2024 08 04;0;0;0
1511;valentina;80;m;pereira;las calles estan muy oscuras y peligrosas;seguridad;urgente;2023 02 20;1;0;0
1512;pedro;69;otro;bogota;necesitamos mas acceso a internet en la zona;salud;urgente;2024 01 06;0;1;1
1513;ana;61;otro;santa marta;faltan medicos en el centro de salud;medio ambiente;urgente;2023 08 10;1;1;0
1514;laura;18;otro;barranquilla;nan;educacion;no urgente;2023 08 20;1;1;1
1515;jorge;79;otro;santa marta;no hay suficientes escuelas publicas;medio ambiente;urgente;2023 02 12;1;1;0
1516;valentina;24;m;barranquilla;las basuras no se recogen a tiempo;seguridad;no urgente;2023 10 06;1;0;0
1517;camilo;54;m;cartagena;no hay suficientes escuelas publicas;educacion;no urgente;2023 11 09;1;0;0
1518;juan;24;m;medellin;hay problemas con la recoleccion de basura;salud;urgente;2024 09 21;0;0;0
1519;valentina;37;m;manizales;falta agua potable en varias casas;salud;no urgente;2024 10 07;0;1;0
1520;pedro;49;m;medellin;necesitamos mas acceso a internet en la zona;salud;urgente;2024 10 16;0;0;1
1521;camilo;21;f;bogota;queremos mas presencia policial;medio ambiente;no urgente;2024 05 03;1;0;1
1522;laura;65;m;bucaramanga;las basuras no se recogen a tiempo;salud;no urgente;2023 02 04;0;1;1
1523;ana;55;otro;medellin;faltan medicos en el centro de salud;seguridad;no urgente;2023 04 11;1;1;1
1524;sofia;20;otro;nan;las basuras no se recogen a tiempo;medio ambiente;no urgente;2023 05 20;0;0;0
1525;juan;40;otro;cucuta;queremos mas presencia policial;educacion;no urgente;2024 03 20;1;1;0
1526;juan;68;m;pereira;las calles estan muy oscuras y peligrosas;medio ambiente;no urgente;2023 05 16;1;0;0
1527;juan;61;nan;cali;faltan medicos en el centro de salud;medio ambiente;no urgente;2024 05 23;1;0;1
1528;valentina;39;f;medellin;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2023 12 02;0;1;0
1529;carlos;77;f;cucuta;hay problemas con la recoleccion de basura;educacion;no urgente;2024 06 20;0;0;1
1530;jorge;35;m;bogota;falta agua potable en varias casas;educacion;urgente;2024 08 14;0;0;0
1531;maria;62;m;pereira;falta agua potable en varias casas;medio ambiente;urgente;2024 08 21;0;1;1
1532;maria;70;m;cucuta;faltan medicos en el centro de salud;educacion;urgente;2024 01 10;0;0;1
1533;sofia;76;nan;pereira;las basuras no se recogen a tiempo;educacion;urgente;2023 01 05;0;1;0
1534;sofia;21;otro;pereira;necesitamos mas acceso a internet en la zona;medio ambiente;urgente;2024 02 01;1;0;1
1535;ana;74;f;bucaramanga;queremos mas presencia policial;educacion;no urgente;2023 09 22;0;1;0
1536;camilo;16;m;cucuta;la contaminacion del rio esta aumentando;medio ambiente;urgente;2024 05 16;0;1;0
1537;camilo;;f;cartagena;las calles estan muy oscuras y peligrosas;salud;urgente;2023 10 03;1;1;1
1538;carlos;37;otro;cartagena;faltan medicos en el centro de salud;medio ambiente;no urgente;2024 01 11;1;1;0
1539;maria;55;otro;santa marta;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2024 07 28;1;1;0
1540;valentina;66;otro;cucuta;la contaminacion del rio esta aumentando;seguridad;no urgente;2024 07 31;0;1;0
1541;valentina;47;f;cali;la contaminacion del rio esta aumentando;seguridad;no urgente;2023 03 07;1;0;1
1542;juan;74;otro;barranquilla;las calles estan muy oscuras y peligrosas;educacion;urgente;2023 06 19;0;0;0
1543;pedro;59;otro;cucuta;no tenemos centros culturales ni bibliotecas;educacion;urgente;2023 11 29;0;0;1
1544;ana;55;m;bucaramanga;no hay suficientes escuelas publicas;seguridad;urgente;2023 01 12;1;0;1
1545;jorge;16;otro;cartagena;las basuras no se recogen a tiempo;medio ambiente;urgente;2023 10 06;1;1;0
1546;pedro;16;otro;pereira;las calles estan muy oscuras y peligrosas;educacion;urgente;2024 04 28;0;1;0
1547;jorge;27;m;cartagena;queremos mas presencia policial;educacion;no urgente;2023 08 30;0;0;0
1548;juan;;f;pereira;la contaminacion del rio esta aumentando;seguridad;urgente;2023 08 22;0;1;1
1549;valentina;51;otro;medellin;faltan medicos en el centro de salud;salud;urgente;2023 04 27;1;0;0
1550;carlos;75;otro;santa marta;faltan medicos en el centro de salud;salud;no urgente;2024 08 01;0;1;1
1551;laura;75;m;pereira;no tenemos centros culturales ni bibliotecas;salud;no urgente;2023 10 18;0;1;1
1552;camilo;33;otro;santa marta;faltan medicos en el centro de salud;seguridad;urgente;2024 02 09;1;0;1
1553;camilo;75;f;bucaramanga;hay problemas con la recoleccion de basura;salud;no urgente;2024 06 14;0;1;0
1554;pedro;72;f;bogota;la contaminacion del rio esta aumentando;educacion;no urgente;2023 04 28;0;0;0
1555;jorge;19;f;medellin;hay problemas con la recoleccion de basura;educacion;no urgente;2024 04 30;1;0;1
1556;jorge;42;f;manizales;no tenemos centros culturales ni bibliotecas;medio ambiente;no urgente;2023 05 22;0;1;1
1557;laura;63;m;pereira;necesitamos mas acceso a internet en la zona;educacion;urgente;2023 07 20;1;1;1
1558;sofia;30;f;cucuta;queremos mas presencia policial;medio ambiente;urgente;2023 10 14;1;1;0
1559;carlos;69;f;cali;hay problemas con la recoleccion de basura;educacion;no urgente;2024 09 26;1;1;0
1560;pedro;56;otro;santa marta;nan;educacion;urgente;2023 07 01;1;1;0
1561;pedro;31;otro;bogota;falta agua potable en varias casas;educacion;no urgente;2023 04 03;0;1;1
1562;laura;70;f;bucaramanga;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2024 10 14;1;1;1
1563;carlos;52;m;bogota;las basuras no se recogen a tiempo;seguridad;no urgente;2024 06 22;1;1;1
1564;maria;;otro;manizales;falta agua potable en varias casas;salud;urgente;2024 06 19;1;1;1
1565;maria;40;otro;cali;queremos mas presencia policial;salud;no urgente;2024 07 26;1;1;1
1566;carlos;;otro;pereira;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2024 08 31;1;0;0
1567;sofia;49;f;cartagena;faltan medicos en el centro de salud;medio ambiente;no urgente;2024 07 30;0;1;0
1568;juan;56;f;bucaramanga;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2023 10 25;0;0;0
1569;jorge;55;nan;cali;hay problemas con la recoleccion de basura;educacion;no urgente;2023 04 06;0;0;1
1570;maria;;f;bucaramanga;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2023 05 01;1;1;1
1571;laura;31;m;bucaramanga;hay problemas con la recoleccion de basura;salud;no urgente;2024 07 20;0;1;0
1572;sofia;36;f;bucaramanga;no hay suficientes escuelas publicas;salud;no urgente;2024 10 18;0;1;0
1573;ana;79;f;pereira;no tenemos centros culturales ni bibliotecas;educacion;urgente;2024 11 20;0;0;1
1574;camilo;41;otro;cartagena;no tenemos centros culturales ni bibliotecas;medio ambiente;no urgente;2024 06 30;1;0;0
1575;camilo;29;otro;bucaramanga;no hay suficientes escuelas publicas;medio ambiente;urgente;2024 03 04;1;0;1
1576;camilo;59;otro;cartagena;nan;medio ambiente;no urgente;2023 11 26;1;1;0
1577;jorge;64;m;pereira;no hay suficientes escuelas publicas;salud;urgente;2024 02 26;1;0;1
1578;maria;60;m;cartagena;falta agua potable en varias casas;educacion;urgente;2024 01 12;0;0;1
1579;ana;39;nan;cali;necesitamos mas acceso a internet en la zona;medio ambiente;no urgente;2023 04 14;0;1;1
1580;carlos;44;f;cartagena;las basuras no se recogen a tiempo;salud;urgente;2024 01 23;1;0;0
1581;pedro;16;otro;barranquilla;las basuras no se recogen a tiempo;seguridad;no urgente;2024 05 26;1;0;1
1582;maria;;otro;medellin;las calles estan muy oscuras y peligrosas;salud;urgente;2023 09 30;0;0;1
1583;valentina;75;otro;barranquilla;la contaminacion del rio esta aumentando;seguridad;urgente;2023 10 14;0;0;1
1584;maria;74;otro;manizales;las basuras no se recogen a tiempo;medio ambiente;no urgente;2023 09 25;1;0;0
1585;jorge;47;otro;bucaramanga;la contaminacion del rio esta aumentando;educacion;no urgente;2023 01 22;1;1;0
1586;camilo;23;m;barranquilla;las basuras no se recogen a tiempo;seguridad;no urgente;2024 04 13;0;0;1
1587;maria;45;otro;cucuta;falta agua potable en varias casas;educacion;urgente;2023 04 05;0;1;1
1588;pedro;22;f;manizales;no hay suficientes escuelas publicas;salud;urgente;2023 01 04;1;1;0
1589;juan;80;otro;cucuta;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2023 10 22;0;1;1
1590;pedro;29;otro;bogota;hay problemas con la recoleccion de basura;seguridad;urgente;2024 11 04;1;0;0
1591;sofia;49;otro;barranquilla;nan;educacion;no urgente;2024 02 28;0;1;1
1592;maria;45;otro;bucaramanga;la contaminacion del rio esta aumentando;salud;no urgente;2023 04 13;1;0;0
1593;maria;28;f;medellin;queremos mas presencia policial;seguridad;urgente;2024 10 08;1;0;1
1594;maria;41;m;bucaramanga;la contaminacion del rio esta aumentando;educacion;no urgente;2023 01 29;1;1;1
1595;juan;47;m;medellin;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2023 07 03;1;1;1
1596;laura;47;otro;manizales;faltan medicos en el centro de salud;salud;no urgente;2023 09 21;1;1;1
1597;laura;80;nan;pereira;necesitamos mas acceso a internet en la zona;educacion;no urgente;2023 06 10;0;0;0
1598;jorge;68;f;manizales;queremos mas presencia policial;salud;no urgente;2023 09 21;0;1;1
1599;ana;57;otro;manizales;no hay suficientes escuelas publicas;seguridad;urgente;2023 05 27;0;0;0
1600;camilo;25;otro;santa marta;queremos mas presencia policial;educacion;no urgente;2024 09 26;1;1;1
1601;laura;60;otro;bogota;nan;medio ambiente;urgente;2023 01 19;1;0;1
1602;jorge;32;f;cartagena;las basuras no se recogen a tiempo;salud;urgente;2024 06 27;0;1;0
1603;jorge;21;f;cali;las calles estan muy oscuras y peligrosas;educacion;urgente;2023 07 26;0;1;1
1604;ana;77;m;bucaramanga;las calles estan muy oscuras y peligrosas;educacion;urgente;2023 07 25;0;0;0
1605;juan;26;f;bogota;las calles estan muy oscuras y peligrosas;educacion;urgente;2024 07 10;1;1;1
1606;valentina;36;m;medellin;la contaminacion del rio esta aumentando;medio ambiente;urgente;2023 02 23;0;1;1
1607;juan;29;otro;bucaramanga;la contaminacion del rio esta aumentando;seguridad;no urgente;2023 07 28;0;1;0
1608;maria;64;m;bogota;necesitamos mas acceso a internet en la zona;salud;no urgente;2023 08 09;1;0;0
1609;carlos;42;f;manizales;hay problemas con la recoleccion de basura;salud;no urgente;2024 08 12;0;0;0
1610;maria;69;m;santa marta;queremos mas presencia policial;educacion;urgente;2024 02 21;0;0;0
1611;ana;70;m;santa marta;las calles estan muy oscuras y peligrosas;seguridad;urgente;2024 11 02;1;0;0
1612;ana;21;m;barranquilla;la contaminacion del rio esta aumentando;educacion;urgente;2023 09 15;0;1;1
1613;camilo;26;f;manizales;necesitamos mas acceso a internet en la zona;salud;urgente;2023 11 21;0;1;1
1614;jorge;34;otro;nan;las calles estan muy oscuras y peligrosas;educacion;urgente;2023 03 31;1;1;0
1615;laura;66;m;cartagena;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2023 03 07;0;1;0
1616;laura;41;f;manizales;las basuras no se recogen a tiempo;educacion;no urgente;2023 08 12;1;1;0
1617;laura;75;f;bucaramanga;las calles estan muy oscuras y peligrosas;salud;urgente;2023 07 14;0;1;1
1618;valentina;22;f;cartagena;nan;salud;no urgente;2023 11 14;0;0;0
1619;sofia;68;f;santa marta;faltan medicos en el centro de salud;salud;no urgente;2023 06 10;0;1;0
1620;camilo;73;otro;cartagena;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2024 02 24;1;0;0
1621;ana;66;otro;cartagena;no hay suficientes escuelas publicas;seguridad;urgente;2023 07 27;0;0;0
1622;valentina;59;otro;medellin;falta agua potable en varias casas;seguridad;no urgente;2023 02 03;1;1;0
1623;maria;68;otro;cartagena;faltan medicos en el centro de salud;medio ambiente;no urgente;2024 07 26;1;1;0
1624;maria;70;f;medellin;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2023 01 17;1;0;0
1625;carlos;51;f;cucuta;las calles estan muy oscuras y peligrosas;salud;urgente;2024 07 24;0;0;0
1626;sofia;77;m;pereira;falta agua potable en varias casas;salud;urgente;2023 08 23;0;1;1
1627;valentina;31;otro;cucuta;las basuras no se recogen a tiempo;seguridad;urgente;2023 12 09;1;1;0
1628;pedro;;m;cali;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2024 11 11;0;0;0
1629;sofia;57;f;cucuta;las calles estan muy oscuras y peligrosas;medio ambiente;no urgente;2024 08 21;1;0;0
1630;jorge;47;m;medellin;las basuras no se recogen a tiempo;educacion;no urgente;2023 08 03;1;0;0
1631;ana;50;otro;barranquilla;las calles estan muy oscuras y peligrosas;educacion;no urgente;2023 07 10;1;1;0
1632;jorge;71;f;bogota;hay problemas con la recoleccion de basura;salud;urgente;2023 11 02;1;1;1
1633;jorge;29;nan;medellin;falta agua potable en varias casas;medio ambiente;no urgente;2023 10 05;1;0;1
1634;carlos;22;m;bogota;necesitamos mas acceso a internet en la zona;medio ambiente;urgente;2024 10 05;1;0;0
1635;pedro;70;f;bogota;las calles estan muy oscuras y peligrosas;educacion;urgente;2024 02 13;1;0;0
1636;carlos;74;f;manizales;las basuras no se recogen a tiempo;salud;urgente;2023 09 26;0;1;0
1637;pedro;29;m;cucuta;falta agua potable en varias casas;salud;urgente;2024 01 01;1;0;1
1638;ana;27;m;manizales;necesitamos mas acceso a internet en la zona;medio ambiente;no urgente;2023 02 06;1;1;0
1639;maria;26;m;bucaramanga;necesitamos mas acceso a internet en la zona;salud;urgente;2024 05 09;1;0;1
1640;camilo;51;f;cartagena;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2023 10 05;1;0;0
1641;laura;31;otro;medellin;faltan medicos en el centro de salud;seguridad;urgente;2023 12 29;0;1;1
1642;pedro;78;f;cartagena;no hay suficientes escuelas publicas;medio ambiente;urgente;2023 10 18;1;0;1
1643;carlos;46;otro;santa marta;la contaminacion del rio esta aumentando;medio ambiente;urgente;2024 05 02;1;0;1
1644;juan;18;f;cartagena;queremos mas presencia policial;seguridad;no urgente;2023 01 31;1;1;1
1645;jorge;75;m;cali;no hay suficientes escuelas publicas;medio ambiente;urgente;2023 12 12;0;1;0
1646;ana;76;m;medellin;faltan medicos en el centro de salud;medio ambiente;urgente;2023 06 02;0;1;0
1647;laura;32;otro;cali;no hay suficientes escuelas publicas;medio ambiente;no urgente;2023 06 28;0;0;1
1648;valentina;;f;bogota;las basuras no se recogen a tiempo;educacion;urgente;2023 04 04;0;1;1
1649;pedro;64;nan;cartagena;queremos mas presencia policial;educacion;no urgente;2023 06 12;1;0;0
1650;laura;41;f;nan;nan;medio ambiente;urgente;2024 08 09;1;0;1
1651;maria;28;otro;santa marta;no tenemos centros culturales ni bibliotecas;salud;urgente;2023 06 06;1;0;1
1652;juan;50;m;pereira;las calles estan muy oscuras y peligrosas;medio ambiente;urgente;2024 07 27;1;1;1
1653;laura;68;m;santa marta;faltan medicos en el centro de salud;educacion;urgente;2024 06 18;1;0;0
1654;juan;54;f;santa marta;faltan medicos en el centro de salud;seguridad;urgente;2023 01 16;0;0;1
1655;laura;19;f;bogota;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2024 08 29;1;1;0
1656;juan;27;f;pereira;queremos mas presencia policial;seguridad;urgente;2024 03 03;0;0;0
1657;maria;37;m;bogota;la contaminacion del rio esta aumentando;salud;urgente;2024 06 28;0;0;1
1658;jorge;27;otro;cali;no tenemos centros culturales ni bibliotecas;medio ambiente;no urgente;2023 02 15;1;0;1
1659;valentina;50;otro;pereira;hay problemas con la recoleccion de basura;educacion;urgente;2023 02 20;0;0;1
1660;camilo;;m;cartagena;falta agua potable en varias casas;educacion;no urgente;2024 11 26;1;0;0
1661;jorge;50;m;medellin;queremos mas presencia policial;medio ambiente;no urgente;2023 03 25;1;1;1
1662;jorge;24;m;santa marta;necesitamos mas acceso a internet en la zona;medio ambiente;urgente;2023 06 18;1;1;1
1663;maria;22;f;cali;no hay suficientes escuelas publicas;educacion;urgente;2024 10 09;0;0;1
1664;pedro;67;f;cartagena;las calles estan muy oscuras y peligrosas;educacion;no urgente;2024 04 11;1;1;1
1665;sofia;47;m;santa marta;falta agua potable en varias casas;educacion;urgente;2024 03 08;1;1;1
1666;camilo;68;m;bogota;faltan medicos en el centro de salud;medio ambiente;urgente;2024 08 05;1;0;0
1667;valentina;43;otro;pereira;las calles estan muy oscuras y peligrosas;seguridad;urgente;2024 04 01;1;0;0
1668;ana;49;f;barranquilla;la contaminacion del rio esta aumentando;medio ambiente;urgente;2024 11 13;1;1;1
1669;jorge;74;f;medellin;no hay suficientes escuelas publicas;seguridad;urgente;2024 04 07;1;0;0
1670;sofia;20;m;cali;faltan medicos en el centro de salud;seguridad;urgente;2023 02 08;0;0;0
1671;valentina;16;nan;bucaramanga;las calles estan muy oscuras y peligrosas;seguridad;no urgente;2024 03 11;0;1;0
1672;pedro;58;f;manizales;la contaminacion del rio esta aumentando;educacion;urgente;2024 11 06;1;0;1
1673;laura;44;f;pereira;queremos mas presencia policial;seguridad;urgente;2023 10 06;1;1;0
1674;jorge;59;m;santa marta;queremos mas presencia policial;salud;urgente;2023 02 02;1;0;1
1675;sofia;40;f;cali;nan;educacion;no urgente;2024 05 13;0;0;0
1676;sofia;36;f;manizales;las basuras no se recogen a tiempo;seguridad;urgente;2024 05 09;1;1;1
1677;ana;58;otro;pereira;queremos mas presencia policial;educacion;urgente;2024 09 05;1;0;0
1678;sofia;24;f;santa marta;las basuras no se recogen a tiempo;medio ambiente;urgente;2024 10 31;0;0;1
1679;carlos;73;f;nan;necesitamos mas acceso a internet en la zona;seguridad;urgente;2023 02 10;1;0;0
1680;valentina;20;f;cucuta;nan;educacion;no urgente;2024 10 07;1;0;1
1681;sofia;37;otro;bucaramanga;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2024 07 19;1;0;1
1682;valentina;66;m;barranquilla;queremos mas presencia policial;seguridad;urgente;2024 04 02;0;1;0
1683;ana;74;f;barranquilla;no hay suficientes escuelas publicas;educacion;urgente;2023 08 26;0;0;0
1684;ana;26;otro;medellin;la contaminacion del rio esta aumentando;educacion;no urgente;2023 01 01;0;0;0
1685;sofia;39;f;manizales;la contaminacion del rio esta aumentando;salud;urgente;2023 01 30;1;0;0
1686;ana;76;f;bogota;nan;educacion;urgente;2023 06 06;0;0;1
1687;valentina;49;otro;cali;hay problemas con la recoleccion de basura;salud;no urgente;2023 03 03;0;0;0
1688;pedro;72;f;bucaramanga;queremos mas presencia policial;salud;no urgente;2023 01 26;1;1;1
1689;jorge;65;m;santa marta;la contaminacion del rio esta aumentando;salud;urgente;2023 09 30;1;1;0
1690;laura;28;m;cucuta;faltan medicos en el centro de salud;medio ambiente;urgente;2023 05 16;0;1;0
1691;juan;59;f;medellin;las basuras no se recogen a tiempo;salud;no urgente;2023 10 02;1;0;1
1692;sofia;52;m;bogota;nan;educacion;no urgente;2023 06 03;0;0;1
1693;ana;73;otro;nan;hay problemas con la recoleccion de basura;seguridad;urgente;2024 08 24;1;0;1
1694;pedro;54;otro;manizales;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2024 11 05;1;0;0
1695;pedro;24;m;manizales;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2023 01 04;0;0;0
1696;valentina;73;otro;bogota;no hay suficientes escuelas publicas;seguridad;no urgente;2024 02 15;1;1;0
1697;juan;67;f;cali;queremos mas presencia policial;medio ambiente;no urgente;2023 02 15;0;1;0
1698;camilo;16;otro;pereira;las basuras no se recogen a tiempo;medio ambiente;no urgente;2023 09 20;1;0;0
1699;sofia;72;otro;cucuta;no tenemos centros culturales ni bibliotecas;salud;urgente;2023 03 05;1;0;1
1700;maria;34;f;barranquilla;hay problemas con la recoleccion de basura;salud;no urgente;2024 10 17;0;0;1
1701;carlos;64;f;cucuta;no tenemos centros culturales ni bibliotecas;salud;no urgente;2023 06 23;0;1;1
1702;camilo;77;nan;manizales;faltan medicos en el centro de salud;medio ambiente;urgente;2023 05 04;0;1;1
1703;juan;39;otro;cartagena;la contaminacion del rio esta aumentando;educacion;urgente;2024 11 05;0;1;1
1704;carlos;42;f;bucaramanga;queremos mas presencia policial;seguridad;no urgente;2023 11 17;0;1;1
1705;pedro;55;m;manizales;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2024 10 09;1;1;1
1706;juan;54;otro;cucuta;no hay suficientes escuelas publicas;salud;no urgente;2024 07 08;1;1;0
1707;sofia;32;f;bucaramanga;la contaminacion del rio esta aumentando;salud;no urgente;2024 05 03;1;1;1
1708;ana;47;f;santa marta;faltan medicos en el centro de salud;salud;no urgente;2024 10 12;0;0;1
1709;jorge;69;m;cali;faltan medicos en el centro de salud;salud;no urgente;2023 02 14;0;0;1
1710;pedro;22;m;cartagena;falta agua potable en varias casas;educacion;no urgente;2024 03 31;1;1;0
1711;jorge;55;f;pereira;nan;medio ambiente;no urgente;2023 12 25;1;0;0
1712;laura;19;m;pereira;hay problemas con la recoleccion de basura;educacion;no urgente;2023 11 18;0;1;0
1713;camilo;62;m;cucuta;no hay suficientes escuelas publicas;medio ambiente;no urgente;2023 11 27;0;1;1
1714;carlos;64;f;barranquilla;hay problemas con la recoleccion de basura;seguridad;no urgente;2023 11 04;0;1;0
1715;sofia;23;m;medellin;no tenemos centros culturales ni bibliotecas;salud;no urgente;2023 09 12;1;0;1
1716;juan;74;f;cucuta;faltan medicos en el centro de salud;educacion;urgente;2023 01 28;0;0;0
1717;ana;69;m;barranquilla;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2024 05 28;0;0;1
1718;pedro;31;otro;cartagena;las basuras no se recogen a tiempo;salud;urgente;2023 12 27;1;0;1
1719;valentina;52;otro;cucuta;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2023 11 26;1;0;0
1720;valentina;;f;bucaramanga;no tenemos centros culturales ni bibliotecas;salud;urgente;2023 10 17;0;0;1
1721;jorge;78;m;barranquilla;falta agua potable en varias casas;salud;urgente;2023 06 25;1;1;1
